Jogador,Player,Unnamed: 1,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating,Player,Unnamed: 1,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating,Player,Unnamed: 1,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Player,Unnamed: 1,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
"Gustavo ScarpaPalmeiras, 28, D(L),M(CLR)","1Gustavo ScarpaPalmeiras, 28, D(L),M(CLR)",  ,8(2),747.0,0.6,0.6,0.2,-,0.5,0.5,0.1,-,7.76,"1Gustavo ScarpaPalmeiras, 28, D(L),M(CLR)",  ,8(2),747.0,2,3,3.1,4.6,0.9,2,0.3,1.1,0.6,7.76,"1Gustavo ScarpaPalmeiras, 28, D(L),M(CLR)",  ,8(2),747.0,3,4.6,27.4,77.7,4,4.1,-,7.76,"1Gustavo ScarpaPalmeiras, 28, D(L),M(CLR)",  ,8(2),747.0,2,3,-,-,3.1,77.7,0.5,3,7.76
"MarinhoFlamengo, 32, AM(CLR),FW","2MarinhoFlamengo, 32, AM(CLR),FW",  ,3(3),302.0,0.8,-,0.8,-,0.2,0.8,-,-,7.7,"2MarinhoFlamengo, 32, AM(CLR),FW",  ,3(3),302.0,2,4,2.2,1.8,1.7,2.3,-,0.5,0.7,7.7,"2MarinhoFlamengo, 32, AM(CLR),FW",  ,3(3),302.0,4,1.8,13.3,81.3,1,1.2,0.3,7.7,"2MarinhoFlamengo, 32, AM(CLR),FW",  ,3(3),302.0,2,4,-,-,2.2,81.3,-,1,7.7
"Giorgian de ArrascaetaFlamengo, 28, AM(CLR),FW","3Giorgian de ArrascaetaFlamengo, 28, AM(CLR),FW",  ,7(2),618.0,1.9,0.4,0.4,-,0.1,0.9,-,-,7.58,"3Giorgian de ArrascaetaFlamengo, 28, AM(CLR),FW",  ,7(2),618.0,2,3,2.6,2.7,1.1,2.4,0.1,1.9,2.2,7.58,"3Giorgian de ArrascaetaFlamengo, 28, AM(CLR),FW",  ,7(2),618.0,3,2.7,36.6,81.2,1.4,1.8,0.7,7.58,"3Giorgian de ArrascaetaFlamengo, 28, AM(CLR),FW",  ,7(2),618.0,2,3,-,-,2.6,81.2,0.6,3,7.58
"JoaquimCuiaba, 23, D(C)","4JoaquimCuiaba, 23, D(C)",  ,5,450.0,2,2,0.4,1.4,4.6,0.2,0.4,-,7.53,"4JoaquimCuiaba, 23, D(C)",  ,5,450.0,-,1,1.4,0.2,0.2,1.8,-,-,-,7.53,"4JoaquimCuiaba, 23, D(C)",  ,5,450.0,1,0.2,48.2,79.7,-,2.4,-,7.53,"4JoaquimCuiaba, 23, D(C)",  ,5,450.0,-,1,-,-,1.4,79.7,5.6,2,7.53
"AyrtonFlamengo, 25, D(L),M(L)","5AyrtonFlamengo, 25, D(L),M(L)",  ,7(1),678.0,1.4,1.1,1.6,-,1.9,0.8,0.4,-,7.47,"5AyrtonFlamengo, 25, D(L),M(L)",  ,7(1),678.0,2,2,0.9,0.6,1.4,2.3,-,1.6,1,7.47,"5AyrtonFlamengo, 25, D(L),M(L)",  ,7(1),678.0,2,0.6,48.1,88.8,0.1,1.3,-,7.47,"5AyrtonFlamengo, 25, D(L),M(L)",  ,7(1),678.0,2,2,-,-,0.9,88.8,1.4,-,7.47
"Germán CanoFluminense, 34, FW","6Germán CanoFluminense, 34, FW",  ,11,925.0,0.3,0.1,0.7,-,0.6,0.5,-,-,7.44,"6Germán CanoFluminense, 34, FW",  ,11,925.0,11,1,4.5,0.7,-,0.5,0.7,0.6,0.7,7.44,"6Germán CanoFluminense, 34, FW",  ,11,925.0,1,0.7,17.9,76.1,0.1,0.7,-,7.44,"6Germán CanoFluminense, 34, FW",  ,11,925.0,11,1,-,-,4.5,76.1,0.8,3,7.44
"WandersonInternacional, 27, AM(LR),FW","7WandersonInternacional, 27, AM(LR),FW",  ,7(1),527.0,0.6,0.1,0.8,-,-,0.6,-,-,7.44,"7WandersonInternacional, 27, AM(LR),FW",  ,7(1),527.0,5,1,1.5,1.1,2.8,0.9,0.1,0.8,1.3,7.44,"7WandersonInternacional, 27, AM(LR),FW",  ,7(1),527.0,1,1.1,19.0,83.6,0.5,0.3,0.1,7.44,"7WandersonInternacional, 27, AM(LR),FW",  ,7(1),527.0,5,1,-,-,1.5,83.6,0.1,3,7.44
"Igor PaixãoCoritiba, 22, AM(L)","8Igor PaixãoCoritiba, 22, AM(L)",  ,8,720.0,1.3,0.9,0.9,-,0.9,0.5,0.3,-,7.41,"8Igor PaixãoCoritiba, 22, AM(L)",  ,8,720.0,1,3,3,1.8,2.5,2.6,-,0.8,3,7.41,"8Igor PaixãoCoritiba, 22, AM(L)",  ,8,720.0,3,1.8,20.9,76.0,1.1,0.9,-,7.41,"8Igor PaixãoCoritiba, 22, AM(L)",  ,8,720.0,1,3,1,-,3,76.0,1.4,2,7.41
"MatheuzinhoFlamengo, 21, D(R)","9MatheuzinhoFlamengo, 21, D(R)",  ,6,532.0,3,1.8,0.3,0.2,1.8,1.5,0.2,-,7.41,"9MatheuzinhoFlamengo, 21, D(R)",  ,6,532.0,-,2,0.5,1.2,1.2,0.3,-,0.3,1,7.41,"9MatheuzinhoFlamengo, 21, D(R)",  ,6,532.0,2,1.2,56.7,88.5,0.8,2,-,7.41,"9MatheuzinhoFlamengo, 21, D(R)",  ,6,532.0,-,2,-,-,0.5,88.5,0.8,1,7.41
"DiegoGoias, 26, D(R),M(R)","10DiegoGoias, 26, D(R),M(R)",  ,10,890.0,1.7,1.1,1,0.1,2.5,1.1,0.4,-,7.4,"10DiegoGoias, 26, D(R),M(R)",  ,10,890.0,-,3,1,1.4,3.2,2.5,0.1,1.2,1.5,7.4,"10DiegoGoias, 26, D(R),M(R)",  ,10,890.0,3,1.4,28.6,79.4,1.6,1.4,-,7.4,"10DiegoGoias, 26, D(R),M(R)",  ,10,890.0,-,3,-,-,1,79.4,0.9,3,7.4
