Jogador,Player,Unnamed: 1,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating,Player,Unnamed: 1,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating,Player,Unnamed: 1,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Player,Unnamed: 1,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
"Marcos RochaPalmeiras, 33, D(R),M(R)","1Marcos RochaPalmeiras, 33, D(R),M(R)",  ,8,630.0,5,1,1.3,0.1,1,2.1,0.5,-,7.38,"1Marcos RochaPalmeiras, 33, D(R),M(R)",  ,8,630.0,-,3,-,1.1,0.6,1,-,0.3,0.5,7.38,"1Marcos RochaPalmeiras, 33, D(R),M(R)",  ,8,630.0,3,1.1,67.4,84.2,-,7.1,0.1,7.38,"1Marcos RochaPalmeiras, 33, D(R),M(R)",  ,8,630.0,-,3,2,-,-,84.2,0.1,1,7.38
"RomarinhoFortaleza, 28, AM(CLR),FW","2RomarinhoFortaleza, 28, AM(CLR),FW",  ,5(1),403.0,0.7,0.2,0.2,-,0.2,0.8,-,-,7.27,"2RomarinhoFortaleza, 28, AM(CLR),FW",  ,5(1),403.0,2,1,1.8,1.7,2.5,1.3,0.2,1.3,2.3,7.27,"2RomarinhoFortaleza, 28, AM(CLR),FW",  ,5(1),403.0,1,1.7,24.5,82.3,0.8,0.5,0.2,7.27,"2RomarinhoFortaleza, 28, AM(CLR),FW",  ,5(1),403.0,2,1,1,-,1.8,82.3,0.3,1,7.27
"Steven MendozaCeara, 30, AM(CLR)","3Steven MendozaCeara, 30, AM(CLR)",  ,8(1),734.0,0.4,0.1,1.1,-,-,0.1,-,-,7.25,"3Steven MendozaCeara, 30, AM(CLR)",  ,8(1),734.0,6,-,3,1,2.2,2.4,0.2,1.8,2.1,7.25,"3Steven MendozaCeara, 30, AM(CLR)",  ,8(1),734.0,-,1,22.4,79.2,0.3,0.8,-,7.25,"3Steven MendozaCeara, 30, AM(CLR)",  ,8(1),734.0,6,-,2,-,3,79.2,0.6,4,7.25
"MuriloPalmeiras, 25, D(C),DMC","4MuriloPalmeiras, 25, D(C),DMC",  ,9,781.0,0.9,1,0.8,0.4,3.6,0.2,1.6,-,7.25,"4MuriloPalmeiras, 25, D(C),DMC",  ,9,781.0,1,-,0.4,0.2,0.6,0.3,-,-,0.4,7.25,"4MuriloPalmeiras, 25, D(C),DMC",  ,9,781.0,-,0.2,50.8,90.6,-,3.4,-,7.25,"4MuriloPalmeiras, 25, D(C),DMC",  ,9,781.0,1,-,2,-,0.4,90.6,3,-,7.25
"Luan CândidoRed Bull Bragantino, 21, D(L)","5Luan CândidoRed Bull Bragantino, 21, D(L)",  ,7(1),645.0,1.5,1,1.3,0.1,2.3,1,0.5,-,7.23,"5Luan CândidoRed Bull Bragantino, 21, D(L)",  ,7(1),645.0,3,2,2.1,0.8,0.5,0.3,0.5,0.3,1,7.23,"5Luan CândidoRed Bull Bragantino, 21, D(L)",  ,7(1),645.0,2,0.8,31.0,76.2,0.1,0.8,-,7.23,"5Luan CândidoRed Bull Bragantino, 21, D(L)",  ,7(1),645.0,3,2,-,-,2.1,76.2,3.6,1,7.23
"Giorgian de ArrascaetaFlamengo, 28, AM(CLR),FW","6Giorgian de ArrascaetaFlamengo, 28, AM(CLR),FW",  ,6(2),552.0,1.9,0.1,0.4,-,-,0.4,-,-,7.18,"6Giorgian de ArrascaetaFlamengo, 28, AM(CLR),FW",  ,6(2),552.0,-,5,1.9,2.3,1.9,1.9,0.1,1.4,2.5,7.18,"6Giorgian de ArrascaetaFlamengo, 28, AM(CLR),FW",  ,6(2),552.0,5,2.3,30.4,77.4,1.5,1.4,-,7.18,"6Giorgian de ArrascaetaFlamengo, 28, AM(CLR),FW",  ,6(2),552.0,-,5,-,-,1.9,77.4,0.4,1,7.18
"WillianCorinthians, 34, AM(CLR)","7WillianCorinthians, 34, AM(CLR)",  ,5(1),370.0,0.7,0.7,0.2,-,0.2,0.2,-,-,7.17,"7WillianCorinthians, 34, AM(CLR)",  ,5(1),370.0,-,2,1,1.7,2.5,1.2,-,0.8,1.3,7.17,"7WillianCorinthians, 34, AM(CLR)",  ,5(1),370.0,2,1.7,25.2,80.8,0.2,1.7,0.2,7.17,"7WillianCorinthians, 34, AM(CLR)",  ,5(1),370.0,-,2,-,-,1,80.8,0.3,1,7.17
"Pedro RaúlGoias, 25, FW","8Pedro RaúlGoias, 25, FW",  ,9(1),778.0,0.8,0.2,1.5,-,0.8,0.6,0.1,-,7.13,"8Pedro RaúlGoias, 25, FW",  ,9(1),778.0,5,1,2.9,0.8,1,1,0.7,1.2,2.9,7.13,"8Pedro RaúlGoias, 25, FW",  ,9(1),778.0,1,0.8,16.0,66.9,-,0.4,-,7.13,"8Pedro RaúlGoias, 25, FW",  ,9(1),778.0,5,1,4,-,2.9,66.9,4.1,2,7.13
"Gustavo ScarpaPalmeiras, 28, D(L),M(CLR)","9Gustavo ScarpaPalmeiras, 28, D(L),M(CLR)",  ,8(2),721.0,0.4,0.2,0.6,-,0.6,0.6,-,-,7.13,"9Gustavo ScarpaPalmeiras, 28, D(L),M(CLR)",  ,8(2),721.0,2,3,3.5,2.4,0.7,1.9,0.6,0.8,1.6,7.13,"9Gustavo ScarpaPalmeiras, 28, D(L),M(CLR)",  ,8(2),721.0,3,2.4,29.9,82.6,1.8,3.8,0.1,7.13,"9Gustavo ScarpaPalmeiras, 28, D(L),M(CLR)",  ,8(2),721.0,2,3,-,-,3.5,82.6,0.2,1,7.13
"Víctor CuestaBotafogo RJ, 33, D(C)","10Víctor CuestaBotafogo RJ, 33, D(C)",  ,6(1),594.0,2.7,1.7,0.7,0.6,3.6,0.3,1.1,-,7.12,"10Víctor CuestaBotafogo RJ, 33, D(C)",  ,6(1),594.0,-,-,0.4,0.3,0.3,0.1,0.1,-,0.3,7.12,"10Víctor CuestaBotafogo RJ, 33, D(C)",  ,6(1),594.0,-,0.3,52.9,85.7,-,2.7,-,7.12,"10Víctor CuestaBotafogo RJ, 33, D(C)",  ,6(1),594.0,-,-,1,-,0.4,85.7,2.3,1,7.12
Erro:502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Erro:502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gustavo GómezPalmeiras, 29, D(C)","11Gustavo GómezPalmeiras, 29, D(C)",  ,8,720.0,1.1,1.9,1.1,0.1,3.3,0.6,1.1,-,7.1,"11Gustavo GómezPalmeiras, 29, D(C)",  ,8,720.0,2,-,0.5,0.3,0.1,0.9,0.4,0.1,0.5,7.1,"11Gustavo GómezPalmeiras, 29, D(C)",  ,8,720.0,-,0.3,47.9,82.2,-,3.1,-,7.1,"11Gustavo GómezPalmeiras, 29, D(C)",  ,8,720.0,2,-,-,-,0.5,82.2,3,1,7.1
"Pedro HenriqueAthletico Paranaense, 26, D(C)","12Pedro HenriqueAthletico Paranaense, 26, D(C)",  ,8(1),723.0,1.8,2.2,1,0.3,5.4,0.6,1,-,7.05,"12Pedro HenriqueAthletico Paranaense, 26, D(C)",  ,8(1),723.0,-,-,0.3,0.6,-,1,-,0.1,0.2,7.05,"12Pedro HenriqueAthletico Paranaense, 26, D(C)",  ,8(1),723.0,-,0.6,36.9,78.3,0.1,5,-,7.05,"12Pedro HenriqueAthletico Paranaense, 26, D(C)",  ,8(1),723.0,-,-,4,-,0.3,78.3,2.8,1,7.05
