Jogador,Player,Unnamed: 1,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating,Player,Unnamed: 1,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating,Player,Unnamed: 1,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating
"Gustavo ScarpaPalmeiras, 28, D(L),M(CLR)","1Gustavo ScarpaPalmeiras, 28, D(L),M(CLR)",  ,16(4),1468.0,0.5,0.4,0.4,-,0.6,0.6,0.1,-,7.44,"1Gustavo ScarpaPalmeiras, 28, D(L),M(CLR)",  ,16(4),1468.0,4,6,3.3,3.5,0.8,2,0.5,1,1.1,7.44,"1Gustavo ScarpaPalmeiras, 28, D(L),M(CLR)",  ,16(4),1468.0,6,3.5,28.7,80.3,2.9,4,0.1,7.44
"Giorgian de ArrascaetaFlamengo, 28, AM(CLR),FW","2Giorgian de ArrascaetaFlamengo, 28, AM(CLR),FW",  ,13(4),1170.0,1.9,0.3,0.4,-,0.1,0.6,-,-,7.39,"2Giorgian de ArrascaetaFlamengo, 28, AM(CLR),FW",  ,13(4),1170.0,2,8,2.2,2.5,1.5,2.2,0.1,1.6,2.4,7.39,"2Giorgian de ArrascaetaFlamengo, 28, AM(CLR),FW",  ,13(4),1170.0,8,2.5,33.6,79.5,1.5,1.6,0.4,7.39
"Marcos RochaPalmeiras, 33, D(R),M(R)","3Marcos RochaPalmeiras, 33, D(R),M(R)",  ,14,1106.0,3.8,1.1,1.3,0.1,1.4,1.6,0.4,-,7.25,"3Marcos RochaPalmeiras, 33, D(R),M(R)",  ,14,1106.0,-,3,0.1,1.3,0.6,0.8,-,0.4,0.4,7.25,"3Marcos RochaPalmeiras, 33, D(R),M(R)",  ,14,1106.0,3,1.3,61.6,82.4,0.2,6.2,0.1,7.25
"DiegoGoias, 26, D(R),M(R)","4DiegoGoias, 26, D(R),M(R)",  ,19,1687.0,1.9,1.3,0.8,0.2,2.1,1,0.6,-,7.22,"4DiegoGoias, 26, D(R),M(R)",  ,19,1687.0,-,3,0.8,0.9,2.9,2,0.1,1,1.5,7.22,"4DiegoGoias, 26, D(R),M(R)",  ,19,1687.0,3,0.9,27.1,82.5,1,1.5,-,7.22
"Igor PaixãoCoritiba, 22, AM(L)","5Igor PaixãoCoritiba, 22, AM(L)",  ,17(1),1554.0,0.7,0.8,0.6,-,0.5,0.6,0.1,-,7.18,"5Igor PaixãoCoritiba, 22, AM(L)",  ,17(1),1554.0,4,4,2.6,1.8,2.6,2.4,-,1.2,2.6,7.18,"5Igor PaixãoCoritiba, 22, AM(L)",  ,17(1),1554.0,4,1.8,22.6,78.8,0.9,1.1,-,7.18
"JoaquimCuiaba, 23, D(C)","6JoaquimCuiaba, 23, D(C)",  ,9(1),813.0,1.9,1.4,0.8,0.9,5.1,0.2,0.3,-,7.18,"6JoaquimCuiaba, 23, D(C)",  ,9(1),813.0,1,1,0.8,0.1,0.3,1.2,-,-,0.6,7.18,"6JoaquimCuiaba, 23, D(C)",  ,9(1),813.0,1,0.1,40.1,79.1,-,2.3,-,7.18
"MuriloPalmeiras, 25, D(C),DMC","7MuriloPalmeiras, 25, D(C),DMC",  ,19,1669.0,0.9,1.2,0.9,0.5,3.6,0.5,1.1,-,7.17,"7MuriloPalmeiras, 25, D(C),DMC",  ,19,1669.0,1,-,0.8,0.3,0.5,0.3,0.1,-,0.2,7.17,"7MuriloPalmeiras, 25, D(C),DMC",  ,19,1669.0,-,0.3,49.5,89.9,-,3.5,-,7.17
"Jhon AriasFluminense, 24, AM(CL)","8Jhon AriasFluminense, 24, AM(CL)",  ,15(2),1292.0,1.5,0.3,1.6,-,0.4,0.6,0.1,-,7.17,"8Jhon AriasFluminense, 24, AM(CL)",  ,15(2),1292.0,4,4,1.3,1.5,2.2,1.4,0.1,1.9,2.5,7.17,"8Jhon AriasFluminense, 24, AM(CL)",  ,15(2),1292.0,4,1.5,39.5,87.4,1.2,0.2,0.1,7.17
"Víctor CuestaBotafogo RJ, 33, D(C)","9Víctor CuestaBotafogo RJ, 33, D(C)",  ,14(1),1314.0,2,2.3,1.1,0.7,2.9,0.5,0.9,-,7.14,"9Víctor CuestaBotafogo RJ, 33, D(C)",  ,14(1),1314.0,2,1,0.5,0.4,0.3,0.2,0.1,-,0.5,7.14,"9Víctor CuestaBotafogo RJ, 33, D(C)",  ,14(1),1314.0,1,0.4,50.5,82.8,0.1,2.2,-,7.14
"Juninho CapixabaFortaleza, 25, D(L),M(L)","10Juninho CapixabaFortaleza, 25, D(L),M(L)",  ,17(2),1580.0,2.6,1.4,1.6,0.2,1.8,1.4,0.1,-,7.14,"10Juninho CapixabaFortaleza, 25, D(L),M(L)",  ,17(2),1580.0,-,2,0.9,1.5,1.7,1.7,-,1.2,1.8,7.14,"10Juninho CapixabaFortaleza, 25, D(L),M(L)",  ,17(2),1580.0,2,1.5,40.5,74.8,0.8,1.7,-,7.14
