,J,J,J,J,J,J,J,J,J,J,J,J,J,o,o,o,o,o,o,o,o,o,o,o,o,o,g,g,g,g,g,g,g,g,g,g,g,g,g,g,a,a,a,a,a,a,a,a,a,a,a,a,a,a,d,d,d,d,d,d,d,d,d,d,d,d,d,d,o,o,o,o,o,o,o,o,o,o,o,o,r,r,r,r,r,r,r,r,r,r,r,r
,Unnamed: 1,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating,Jogador,Unnamed: 1,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating,Jogador,Unnamed: 1,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating,Jogador,Unnamed: 1,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating,Jogador,Unnamed: 1,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating,Jogador,Unnamed: 1,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Jogador,Unnamed: 1,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Jogador
0,  ,8,630.0,5,1,1.3,0.1,1,2.1,0.5,-,7.38,"Marcos RochaPalmeiras, 33, D(R),M(R)",  ,16(4),1468.0,0.5,0.4,0.4,-,0.6,0.6,0.1,-,7.44,"Gustavo ScarpaPalmeiras, 28, D(L),M(CLR)",  ,8(2),747.0,2,3,3.1,4.6,0.9,2,0.3,1.1,0.6,7.76,"Gustavo ScarpaPalmeiras, 28, D(L),M(CLR)",  ,8,630.0,-,3,-,1.1,0.6,1,-,0.3,0.5,7.38,"Marcos RochaPalmeiras, 33, D(R),M(R)",  ,16(4),1468.0,4,6,3.3,3.5,0.8,2,0.5,1,1.1,7.44,"Gustavo ScarpaPalmeiras, 28, D(L),M(CLR)",  ,8(2),747.0,3,4.6,27.4,77.7,4,4.1,-,7.76,"Gustavo ScarpaPalmeiras, 28, D(L),M(CLR)",  ,8,630.0,3,1.1,67.4,84.2,-,7.1,0.1,7.38,"Marcos RochaPalmeiras, 33, D(R),M(R)"
1,  ,5(1),403.0,0.7,0.2,0.2,-,0.2,0.8,-,-,7.27,"RomarinhoFortaleza, 28, AM(CLR),FW",  ,13(4),1170.0,1.9,0.3,0.4,-,0.1,0.6,-,-,7.39,"Giorgian de ArrascaetaFlamengo, 28, AM(CLR),FW",  ,3(3),302.0,2,4,2.2,1.8,1.7,2.3,-,0.5,0.7,7.7,"MarinhoFlamengo, 32, AM(CLR),FW",  ,5(1),403.0,2,1,1.8,1.7,2.5,1.3,0.2,1.3,2.3,7.27,"RomarinhoFortaleza, 28, AM(CLR),FW",  ,13(4),1170.0,2,8,2.2,2.5,1.5,2.2,0.1,1.6,2.4,7.39,"Giorgian de ArrascaetaFlamengo, 28, AM(CLR),FW",  ,3(3),302.0,4,1.8,13.3,81.3,1,1.2,0.3,7.7,"MarinhoFlamengo, 32, AM(CLR),FW",  ,5(1),403.0,1,1.7,24.5,82.3,0.8,0.5,0.2,7.27,"RomarinhoFortaleza, 28, AM(CLR),FW"
2,  ,8(1),734.0,0.4,0.1,1.1,-,-,0.1,-,-,7.25,"Steven MendozaCeara, 30, AM(CLR)",  ,14,1106.0,3.8,1.1,1.3,0.1,1.4,1.6,0.4,-,7.25,"Marcos RochaPalmeiras, 33, D(R),M(R)",  ,7(2),618.0,2,3,2.6,2.7,1.1,2.4,0.1,1.9,2.2,7.58,"Giorgian de ArrascaetaFlamengo, 28, AM(CLR),FW",  ,8(1),734.0,6,-,3,1,2.2,2.4,0.2,1.8,2.1,7.25,"Steven MendozaCeara, 30, AM(CLR)",  ,14,1106.0,-,3,0.1,1.3,0.6,0.8,-,0.4,0.4,7.25,"Marcos RochaPalmeiras, 33, D(R),M(R)",  ,7(2),618.0,3,2.7,36.6,81.2,1.4,1.8,0.7,7.58,"Giorgian de ArrascaetaFlamengo, 28, AM(CLR),FW",  ,8(1),734.0,-,1,22.4,79.2,0.3,0.8,-,7.25,"Steven MendozaCeara, 30, AM(CLR)"
3,  ,9,781.0,0.9,1,0.8,0.4,3.6,0.2,1.6,-,7.25,"MuriloPalmeiras, 25, D(C),DMC",  ,19,1687.0,1.9,1.3,0.8,0.2,2.1,1,0.6,-,7.22,"DiegoGoias, 26, D(R),M(R)",  ,5,450.0,-,1,1.4,0.2,0.2,1.8,-,-,-,7.53,"JoaquimCuiaba, 23, D(C)",  ,9,781.0,1,-,0.4,0.2,0.6,0.3,-,-,0.4,7.25,"MuriloPalmeiras, 25, D(C),DMC",  ,19,1687.0,-,3,0.8,0.9,2.9,2,0.1,1,1.5,7.22,"DiegoGoias, 26, D(R),M(R)",  ,5,450.0,1,0.2,48.2,79.7,-,2.4,-,7.53,"JoaquimCuiaba, 23, D(C)",  ,9,781.0,-,0.2,50.8,90.6,-,3.4,-,7.25,"MuriloPalmeiras, 25, D(C),DMC"
4,  ,7(1),645.0,1.5,1,1.3,0.1,2.3,1,0.5,-,7.23,"Luan CândidoRed Bull Bragantino, 21, D(L)",  ,17(1),1554.0,0.7,0.8,0.6,-,0.5,0.6,0.1,-,7.18,"Igor PaixãoCoritiba, 22, AM(L)",  ,7(1),678.0,2,2,0.9,0.6,1.4,2.3,-,1.6,1,7.47,"AyrtonFlamengo, 25, D(L),M(L)",  ,7(1),645.0,3,2,2.1,0.8,0.5,0.3,0.5,0.3,1,7.23,"Luan CândidoRed Bull Bragantino, 21, D(L)",  ,17(1),1554.0,4,4,2.6,1.8,2.6,2.4,-,1.2,2.6,7.18,"Igor PaixãoCoritiba, 22, AM(L)",  ,7(1),678.0,2,0.6,48.1,88.8,0.1,1.3,-,7.47,"AyrtonFlamengo, 25, D(L),M(L)",  ,7(1),645.0,2,0.8,31.0,76.2,0.1,0.8,-,7.23,"Luan CândidoRed Bull Bragantino, 21, D(L)"
5,  ,6(2),552.0,1.9,0.1,0.4,-,-,0.4,-,-,7.18,"Giorgian de ArrascaetaFlamengo, 28, AM(CLR),FW",  ,9(1),813.0,1.9,1.4,0.8,0.9,5.1,0.2,0.3,-,7.18,"JoaquimCuiaba, 23, D(C)",  ,11,925.0,11,1,4.5,0.7,-,0.5,0.7,0.6,0.7,7.44,"Germán CanoFluminense, 34, FW",  ,6(2),552.0,-,5,1.9,2.3,1.9,1.9,0.1,1.4,2.5,7.18,"Giorgian de ArrascaetaFlamengo, 28, AM(CLR),FW",  ,9(1),813.0,1,1,0.8,0.1,0.3,1.2,-,-,0.6,7.18,"JoaquimCuiaba, 23, D(C)",  ,11,925.0,1,0.7,17.9,76.1,0.1,0.7,-,7.44,"Germán CanoFluminense, 34, FW",  ,6(2),552.0,5,2.3,30.4,77.4,1.5,1.4,-,7.18,"Giorgian de ArrascaetaFlamengo, 28, AM(CLR),FW"
6,  ,5(1),370.0,0.7,0.7,0.2,-,0.2,0.2,-,-,7.17,"WillianCorinthians, 34, AM(CLR)",  ,19,1669.0,0.9,1.2,0.9,0.5,3.6,0.5,1.1,-,7.17,"MuriloPalmeiras, 25, D(C),DMC",  ,7(1),527.0,5,1,1.5,1.1,2.8,0.9,0.1,0.8,1.3,7.44,"WandersonInternacional, 27, AM(LR),FW",  ,5(1),370.0,-,2,1,1.7,2.5,1.2,-,0.8,1.3,7.17,"WillianCorinthians, 34, AM(CLR)",  ,19,1669.0,1,-,0.8,0.3,0.5,0.3,0.1,-,0.2,7.17,"MuriloPalmeiras, 25, D(C),DMC",  ,7(1),527.0,1,1.1,19.0,83.6,0.5,0.3,0.1,7.44,"WandersonInternacional, 27, AM(LR),FW",  ,5(1),370.0,2,1.7,25.2,80.8,0.2,1.7,0.2,7.17,"WillianCorinthians, 34, AM(CLR)"
7,  ,9(1),778.0,0.8,0.2,1.5,-,0.8,0.6,0.1,-,7.13,"Pedro RaúlGoias, 25, FW",  ,15(2),1292.0,1.5,0.3,1.6,-,0.4,0.6,0.1,-,7.17,"Jhon AriasFluminense, 24, AM(CL)",  ,8,720.0,1,3,3,1.8,2.5,2.6,-,0.8,3,7.41,"Igor PaixãoCoritiba, 22, AM(L)",  ,9(1),778.0,5,1,2.9,0.8,1,1,0.7,1.2,2.9,7.13,"Pedro RaúlGoias, 25, FW",  ,15(2),1292.0,4,4,1.3,1.5,2.2,1.4,0.1,1.9,2.5,7.17,"Jhon AriasFluminense, 24, AM(CL)",  ,8,720.0,3,1.8,20.9,76.0,1.1,0.9,-,7.41,"Igor PaixãoCoritiba, 22, AM(L)",  ,9(1),778.0,1,0.8,16.0,66.9,-,0.4,-,7.13,"Pedro RaúlGoias, 25, FW"
8,  ,8(2),721.0,0.4,0.2,0.6,-,0.6,0.6,-,-,7.13,"Gustavo ScarpaPalmeiras, 28, D(L),M(CLR)",  ,14(1),1314.0,2,2.3,1.1,0.7,2.9,0.5,0.9,-,7.14,"Víctor CuestaBotafogo RJ, 33, D(C)",  ,6,532.0,-,2,0.5,1.2,1.2,0.3,-,0.3,1,7.41,"MatheuzinhoFlamengo, 21, D(R)",  ,8(2),721.0,2,3,3.5,2.4,0.7,1.9,0.6,0.8,1.6,7.13,"Gustavo ScarpaPalmeiras, 28, D(L),M(CLR)",  ,14(1),1314.0,2,1,0.5,0.4,0.3,0.2,0.1,-,0.5,7.14,"Víctor CuestaBotafogo RJ, 33, D(C)",  ,6,532.0,2,1.2,56.7,88.5,0.8,2,-,7.41,"MatheuzinhoFlamengo, 21, D(R)",  ,8(2),721.0,3,2.4,29.9,82.6,1.8,3.8,0.1,7.13,"Gustavo ScarpaPalmeiras, 28, D(L),M(CLR)"
